Leading Cancer Sites,Year,State,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Melanoma of the Skin,1999,North Carolina,0.187,2.733,14.626
Melanoma of the Skin,1999,North Dakota,0.228,2.198,9.625
Melanoma of the Skin,1999,Ohio,0.205,2.788,13.594
Melanoma of the Skin,1999,Oklahoma,0.398,4.076,10.243
Melanoma of the Skin,1999,Oregon,0.147,3.222,21.968
Melanoma of the Skin,1999,Pennsylvania,0.179,2.435,13.591
Melanoma of the Skin,1999,Rhode Island,0.147,2.745,18.615
Melanoma of the Skin,1999,South Carolina,0.142,2.479,17.498
Melanoma of the Skin,1999,Tennessee,0.264,2.828,10.718
Melanoma of the Skin,1999,Texas,0.242,2.721,11.251
Melanoma of the Skin,1999,Utah,0.144,3.194,22.124
Melanoma of the Skin,1999,Vermont,0.104,2.996,28.902
Melanoma of the Skin,1999,Virginia,0.174,2.524,14.546
Melanoma of the Skin,1999,Washington,0.149,3.248,21.848
Melanoma of the Skin,1999,West Virginia,0.213,3.238,15.185
Melanoma of the Skin,1999,Wisconsin,0.211,2.603,12.337
Melanoma of the Skin,1999,Wyoming,0.193,3.846,19.973
Melanoma of the Skin,2000,Alabama,0.206,2.642,12.804
Melanoma of the Skin,2000,Arizona,0.158,2.777,17.569
Melanoma of the Skin,2000,California,0.141,2.548,18.129
Melanoma of the Skin,2000,Colorado,0.155,3.309,21.385
Melanoma of the Skin,2000,Connecticut,0.112,2.625,23.488
Melanoma of the Skin,2000,Delaware,0.166,2.649,15.976
Melanoma of the Skin,2000,Florida,0.142,2.817,19.846
Melanoma of the Skin,2000,Georgia,0.151,2.586,17.102
Melanoma of the Skin,2000,Hawaii,0.088,1.497,16.998
Melanoma of the Skin,2000,Idaho,0.149,3.009,20.23
Melanoma of the Skin,2000,Illinois,0.185,2.326,12.555
Melanoma of the Skin,2000,Indiana,0.211,3.172,15.005
Melanoma of the Skin,2000,Iowa,0.134,2.355,17.635
Melanoma of the Skin,2000,Kansas,0.187,3.052,16.359
Melanoma of the Skin,2000,Kentucky,0.153,3.082,20.137
Melanoma of the Skin,2000,Louisiana,0.209,2.167,10.35
Melanoma of the Skin,2000,Maine,0.147,2.548,17.319
Melanoma of the Skin,2000,Maryland,0.154,2.678,17.372
Melanoma of the Skin,2000,Massachusetts,0.199,3.44,17.322
Melanoma of the Skin,2000,Michigan,0.138,2.506,18.126
Melanoma of the Skin,2000,Minnesota,0.136,2.47,18.112
Melanoma of the Skin,2000,Missouri,0.262,3.019,11.537
Melanoma of the Skin,2000,Montana,0.157,3.083,19.667
Melanoma of the Skin,2000,Nebraska,0.175,2.484,14.163
Melanoma of the Skin,2000,Nevada,0.142,2.414,16.97
Melanoma of the Skin,2000,New Hampshire,0.109,2.51,22.957
Melanoma of the Skin,2000,New Jersey,0.161,2.513,15.657
Melanoma of the Skin,2000,New Mexico,0.122,2.242,18.433
Melanoma of the Skin,2000,New York,0.204,2.321,11.399
Melanoma of the Skin,2000,North Carolina,0.196,3.125,15.954
Melanoma of the Skin,2000,Ohio,0.192,2.649,13.778
Melanoma of the Skin,2000,Oklahoma,0.311,3.695,11.886
Melanoma of the Skin,2000,Oregon,0.128,3.023,23.587
Melanoma of the Skin,2000,Pennsylvania,0.184,2.744,14.875
Melanoma of the Skin,2000,Rhode Island,0.132,2.756,20.933
Melanoma of the Skin,2000,South Carolina,0.156,2.472,15.885
Melanoma of the Skin,2000,Tennessee,0.304,3.158,10.395
Melanoma of the Skin,2000,Texas,0.177,2.443,13.835
Melanoma of the Skin,2000,Utah,0.129,2.657,20.522
Melanoma of the Skin,2000,Vermont,0.126,3.439,27.357
Melanoma of the Skin,2000,Virginia,0.186,2.786,14.997
Melanoma of the Skin,2000,Washington,0.104,2.454,23.568
Melanoma of the Skin,2000,West Virginia,0.206,3.264,15.813
Melanoma of the Skin,2000,Wisconsin,0.164,2.404,14.645
Melanoma of the Skin,2000,Wyoming,0.18,3.656,20.271
Melanoma of the Skin,2001,Alabama,0.189,2.602,13.802
Melanoma of the Skin,2001,Arizona,0.123,2.449,19.931
Melanoma of the Skin,2001,Arkansas,0.191,2.607,13.673
Melanoma of the Skin,2001,California,0.133,2.555,19.261
Melanoma of the Skin,2001,Colorado,0.152,3.11,20.446
Melanoma of the Skin,2001,Connecticut,0.124,2.939,23.713
Melanoma of the Skin,2001,Delaware,0.187,3.897,20.79
Melanoma of the Skin,2001,Florida,0.144,2.733,19.024
Melanoma of the Skin,2001,Georgia,0.16,2.973,18.607
Melanoma of the Skin,2001,Hawaii,0.103,1.583,15.344
Melanoma of the Skin,2001,Idaho,0.158,3.126,19.818
Melanoma of the Skin,2001,Illinois,0.16,2.131,13.309
Melanoma of the Skin,2001,Indiana,0.142,2.434,17.103
Melanoma of the Skin,2001,Iowa,0.111,2.18,19.62
Melanoma of the Skin,2001,Kansas,0.158,2.728,17.283
Melanoma of the Skin,2001,Kentucky,0.176,3.9,22.176
Melanoma of the Skin,2001,Louisiana,0.209,2.304,11.037
Melanoma of the Skin,2001,Maine,0.158,3.332,21.032
Melanoma of the Skin,2001,Maryland,0.138,2.727,19.776
Melanoma of the Skin,2001,Massachusetts,0.134,2.882,21.454
Melanoma of the Skin,2001,Michigan,0.111,2.093,18.805
Melanoma of the Skin,2001,Minnesota,0.131,2.47,18.805
Melanoma of the Skin,2001,Missouri,0.256,3.17,12.394
Melanoma of the Skin,2001,Montana,0.202,3.541,17.509
Melanoma of the Skin,2001,Nebraska,0.198,3.02,15.281
Melanoma of the Skin,2001,Nevada,0.188,3.382,17.987
Melanoma of the Skin,2001,New Hampshire,0.086,2.037,23.789
Melanoma of the Skin,2001,New Jersey,0.153,2.826,18.493
Melanoma of the Skin,2001,New Mexico,0.099,1.945,19.621
Melanoma of the Skin,2001,New York,0.191,2.424,12.669
Melanoma of the Skin,2001,North Carolina,0.22,3.049,13.857
Melanoma of the Skin,2001,Ohio,0.162,2.591,15.955
Melanoma of the Skin,2001,Oklahoma,0.254,3.303,12.985
Melanoma of the Skin,2001,Oregon,0.13,3.156,24.198
Melanoma of the Skin,2001,Pennsylvania,0.166,2.761,16.589
Melanoma of the Skin,2001,Rhode Island,0.176,4.001,22.716
Melanoma of the Skin,2001,South Carolina,0.149,2.427,16.271
Melanoma of the Skin,2001,South Dakota,0.248,3.046,12.287
Melanoma of the Skin,2001,Tennessee,0.214,2.434,11.364
Melanoma of the Skin,2001,Texas,0.183,2.682,14.647
Melanoma of the Skin,2001,Utah,0.145,3.145,21.668
Melanoma of the Skin,2001,Vermont,0.138,3.117,22.552
Melanoma of the Skin,2001,Virginia,0.193,2.843,14.695
Melanoma of the Skin,2001,Washington,0.137,3.155,23.041
Melanoma of the Skin,2001,West Virginia,0.146,2.503,17.163
Melanoma of the Skin,2001,Wisconsin,0.171,2.654,15.494
Melanoma of the Skin,2002,Alabama,0.203,2.738,13.486
Melanoma of the Skin,2002,Arizona,0.154,3.055,19.789
Melanoma of the Skin,2002,Arkansas,0.198,2.14,10.81
Melanoma of the Skin,2002,California,0.131,2.478,18.861
Melanoma of the Skin,2002,Colorado,0.127,2.716,21.456
Melanoma of the Skin,2002,Connecticut,0.118,2.475,20.897
Melanoma of the Skin,2002,Delaware,0.179,2.882,16.11
Melanoma of the Skin,2002,Florida,0.143,2.771,19.376
Melanoma of the Skin,2002,Georgia,0.13,2.571,19.765
Melanoma of the Skin,2002,Hawaii,0.096,1.672,17.34
Melanoma of the Skin,2002,Idaho,0.163,3.402,20.854
Melanoma of the Skin,2002,Illinois,0.185,2.488,13.457
Melanoma of the Skin,2002,Indiana,0.173,2.968,17.118
Melanoma of the Skin,2002,Iowa,0.119,2.246,18.801
Melanoma of the Skin,2002,Kansas,0.108,2.004,18.624
Melanoma of the Skin,2002,Kentucky,0.162,3.093,19.054
Melanoma of the Skin,2002,Louisiana,0.222,2.46,11.074
Melanoma of the Skin,2002,Maine,0.162,3.484,21.494
Melanoma of the Skin,2002,Maryland,0.128,2.785,21.705
Melanoma of the Skin,2002,Massachusetts,0.119,2.688,22.662
Melanoma of the Skin,2002,Michigan,0.127,2.379,18.738
Melanoma of the Skin,2002,Minnesota,0.134,2.276,16.956
Melanoma of the Skin,2002,Missouri,0.227,2.886,12.699
Melanoma of the Skin,2002,Montana,0.17,2.871,16.888
Melanoma of the Skin,2002,Nebraska,0.174,3.049,17.529
Melanoma of the Skin,2002,Nevada,0.162,2.835,17.475
Melanoma of the Skin,2002,New Hampshire,0.133,3.923,29.449
Melanoma of the Skin,2002,New Jersey,0.128,2.669,20.794
Melanoma of the Skin,2002,New Mexico,0.122,2.18,17.796
Melanoma of the Skin,2002,New York,0.165,2.173,13.137
Melanoma of the Skin,2002,North Carolina,0.17,2.757,16.24
Melanoma of the Skin,2002,Ohio,0.153,2.571,16.844
Melanoma of the Skin,2002,Oklahoma,0.234,3.471,14.805
Melanoma of the Skin,2002,Oregon,0.139,3.291,23.698
Melanoma of the Skin,2002,Pennsylvania,0.16,2.75,17.192
Melanoma of the Skin,2002,Rhode Island,0.098,2.612,26.656
Melanoma of the Skin,2002,South Carolina,0.128,2.536,19.837
Melanoma of the Skin,2002,South Dakota,0.101,1.882,18.68
Melanoma of the Skin,2002,Tennessee,0.233,2.696,11.589
Melanoma of the Skin,2002,Texas,0.174,2.549,14.646
Melanoma of the Skin,2002,Utah,0.163,3.403,20.925
Melanoma of the Skin,2002,Vermont,0.126,3.355,26.592
Melanoma of the Skin,2002,Virginia,0.166,2.892,17.375
Melanoma of the Skin,2002,Washington,0.116,2.613,22.457
Melanoma of the Skin,2002,West Virginia,0.157,2.665,16.934
Melanoma of the Skin,2002,Wisconsin,0.163,2.49,15.234
Melanoma of the Skin,2002,Wyoming,0.204,3.241,15.86
Melanoma of the Skin,2003,Alabama,0.194,2.628,13.574
Melanoma of the Skin,2003,Arizona,0.134,2.818,21.082
Melanoma of the Skin,2003,Arkansas,0.23,2.612,11.334
Melanoma of the Skin,2003,California,0.147,2.691,18.294
Melanoma of the Skin,2003,Colorado,0.139,2.623,18.925
Melanoma of the Skin,2003,Connecticut,0.117,2.603,22.332
Melanoma of the Skin,2003,Delaware,0.163,3.173,19.419
Melanoma of the Skin,2003,Florida,0.166,3.017,18.199
Melanoma of the Skin,2003,Georgia,0.116,2.377,20.576
Melanoma of the Skin,2003,Hawaii,0.138,2.178,15.817
Melanoma of the Skin,2003,Idaho,0.146,3.53,24.213
Melanoma of the Skin,2003,Illinois,0.168,2.289,13.614
Melanoma of the Skin,2003,Indiana,0.158,2.779,17.583
Melanoma of the Skin,2003,Iowa,0.125,2.06,16.442
Melanoma of the Skin,2003,Kansas,0.156,2.923,18.701
Melanoma of the Skin,2003,Kentucky,0.162,3.234,20.006
Melanoma of the Skin,2003,Louisiana,0.202,2.11,10.441
Melanoma of the Skin,2003,Maine,0.113,2.553,22.528
Melanoma of the Skin,2003,Maryland,0.13,2.528,19.416
Melanoma of the Skin,2003,Massachusetts,0.15,3.138,20.94
Melanoma of the Skin,2003,Michigan,0.118,2.26,19.089
Melanoma of the Skin,2003,Minnesota,0.117,2.082,17.863
Melanoma of the Skin,2003,Mississippi,0.16,2.048,12.781
Melanoma of the Skin,2003,Missouri,0.2,2.617,13.064
Melanoma of the Skin,2003,Montana,0.201,3.564,17.734
Melanoma of the Skin,2003,Nebraska,0.164,2.568,15.686
Melanoma of the Skin,2003,Nevada,0.174,3.341,19.219
Melanoma of the Skin,2003,New Hampshire,0.115,3.509,30.528
Melanoma of the Skin,2003,New Jersey,0.133,2.543,19.1
Melanoma of the Skin,2003,New Mexico,0.171,2.979,17.452
Melanoma of the Skin,2003,New York,0.181,2.21,12.208
Melanoma of the Skin,2003,North Carolina,0.166,2.773,16.713
Melanoma of the Skin,2003,Ohio,0.159,2.573,16.225
Melanoma of the Skin,2003,Oklahoma,0.198,3.46,17.474
Melanoma of the Skin,2003,Oregon,0.154,3.348,21.798
Melanoma of the Skin,2003,Pennsylvania,0.162,2.906,17.919
Melanoma of the Skin,2003,Rhode Island,0.091,2.204,24.314
Melanoma of the Skin,2003,South Carolina,0.145,2.964,20.487
Melanoma of the Skin,2003,South Dakota,0.271,3.952,14.585
Melanoma of the Skin,2003,Tennessee,0.244,2.665,10.918
Melanoma of the Skin,2003,Texas,0.169,2.524,14.945
Melanoma of the Skin,2003,Utah,0.152,3.607,23.71
Melanoma of the Skin,2003,Vermont,0.083,2.757,33.272
Melanoma of the Skin,2003,Virginia,0.198,3.244,16.356
Melanoma of the Skin,2003,Washington,0.124,2.954,23.74
Melanoma of the Skin,2003,West Virginia,0.24,3.798,15.833
Melanoma of the Skin,2003,Wisconsin,0.163,2.393,14.659
Melanoma of the Skin,2003,Wyoming,0.162,3.043,18.788
Melanoma of the Skin,2004,Alabama,0.143,2.21,15.405
Melanoma of the Skin,2004,Arizona,0.164,2.722,16.644
Melanoma of the Skin,2004,Arkansas,0.188,2.582,13.755
Melanoma of the Skin,2004,California,0.129,2.552,19.826
Melanoma of the Skin,2004,Colorado,0.15,3.031,20.145
Melanoma of the Skin,2004,Connecticut,0.146,3.262,22.368
Melanoma of the Skin,2004,Delaware,0.129,2.857,22.223
Melanoma of the Skin,2004,Florida,0.159,2.949,18.565
Melanoma of the Skin,2004,Georgia,0.128,2.637,20.628
Melanoma of the Skin,2004,Hawaii,0.075,1.578,21.172
Melanoma of the Skin,2004,Idaho,0.134,3.518,26.329
Melanoma of the Skin,2004,Illinois,0.183,2.681,14.676
Melanoma of the Skin,2004,Indiana,0.186,2.992,16.107
Melanoma of the Skin,2004,Iowa,0.148,2.618,17.642
Melanoma of the Skin,2004,Kansas,0.162,3.107,19.2
Melanoma of the Skin,2004,Kentucky,0.14,3.006,21.514
Melanoma of the Skin,2004,Louisiana,0.15,1.888,12.566
Melanoma of the Skin,2004,Maine,0.128,2.881,22.563
Melanoma of the Skin,2004,Maryland,0.143,2.673,18.673
Melanoma of the Skin,2004,Massachusetts,0.119,2.738,22.914
Melanoma of the Skin,2004,Michigan,0.136,2.353,17.293
Melanoma of the Skin,2004,Minnesota,0.135,2.569,19.025
Melanoma of the Skin,2004,Mississippi,0.145,2.024,13.924
Melanoma of the Skin,2004,Missouri,0.189,3.175,16.789
Melanoma of the Skin,2004,Montana,0.149,2.335,15.636
Melanoma of the Skin,2004,Nebraska,0.16,2.813,17.637
Melanoma of the Skin,2004,Nevada,0.171,2.825,16.54
Melanoma of the Skin,2004,New Hampshire,0.124,3.602,28.982
Melanoma of the Skin,2004,New Jersey,0.126,2.636,20.992
Melanoma of the Skin,2004,New Mexico,0.129,2.25,17.396
Melanoma of the Skin,2004,New York,0.147,2.166,14.741
Melanoma of the Skin,2004,North Carolina,0.149,2.671,17.988
Melanoma of the Skin,2004,Ohio,0.142,2.512,17.734
Melanoma of the Skin,2004,Oklahoma,0.163,2.93,17.931
Melanoma of the Skin,2004,Oregon,0.116,3.06,26.323
Melanoma of the Skin,2004,Pennsylvania,0.165,2.888,17.474
Melanoma of the Skin,2004,Rhode Island,0.171,3.76,22.018
Melanoma of the Skin,2004,South Carolina,0.115,2.437,21.257
Melanoma of the Skin,2004,South Dakota,0.12,1.893,15.785
Melanoma of the Skin,2004,Tennessee,0.158,3.03,19.161
Melanoma of the Skin,2004,Texas,0.188,2.749,14.659
Melanoma of the Skin,2004,Utah,0.115,3,26.008
Melanoma of the Skin,2004,Vermont,0.079,2.492,31.379
Melanoma of the Skin,2004,Virginia,0.154,2.711,17.559
Melanoma of the Skin,2004,Washington,0.123,3.244,26.431
Melanoma of the Skin,2004,West Virginia,0.143,2.783,19.465
Melanoma of the Skin,2004,Wisconsin,0.157,2.351,14.95
Melanoma of the Skin,2004,Wyoming,0.177,3.883,21.92
Melanoma of the Skin,2005,Alabama,0.183,3.483,19.057
Melanoma of the Skin,2005,Arizona,0.19,2.885,15.182
Melanoma of the Skin,2005,Arkansas,0.197,2.582,13.118
Melanoma of the Skin,2005,California,0.12,2.548,21.215
Melanoma of the Skin,2005,Colorado,0.129,2.889,22.388
Melanoma of the Skin,2005,Connecticut,0.118,3.171,26.961
Melanoma of the Skin,2005,Delaware,0.126,3.46,27.488
Melanoma of the Skin,2005,Florida,0.14,2.835,20.235
Melanoma of the Skin,2005,Georgia,0.114,2.496,21.933
Melanoma of the Skin,2005,Hawaii,0.075,1.626,21.825
Melanoma of the Skin,2005,Idaho,0.128,3.455,27.099
Melanoma of the Skin,2005,Illinois,0.164,2.645,16.13
Melanoma of the Skin,2005,Indiana,0.165,2.865,17.373
Melanoma of the Skin,2005,Iowa,0.144,2.705,18.744
Melanoma of the Skin,2005,Kansas,0.159,3.143,19.821
Melanoma of the Skin,2005,Kentucky,0.164,3.623,22.062
Melanoma of the Skin,2005,Louisiana,0.168,2.398,14.26
Melanoma of the Skin,2005,Maine,0.112,2.63,23.503
Melanoma of the Skin,2005,Maryland,0.133,2.84,21.382
Melanoma of the Skin,2005,Massachusetts,0.145,3.32,22.878
Melanoma of the Skin,2005,Michigan,0.137,2.611,19.101
Melanoma of the Skin,2005,Minnesota,0.105,2.032,19.368
Melanoma of the Skin,2005,Mississippi,0.165,2.471,14.972
Melanoma of the Skin,2005,Missouri,0.193,3.44,17.851
Melanoma of the Skin,2005,Montana,0.154,2.951,19.152
Melanoma of the Skin,2005,Nebraska,0.166,3.068,18.529
Melanoma of the Skin,2005,Nevada,0.174,2.951,16.914
Melanoma of the Skin,2005,New Hampshire,0.084,2.854,34.122
Melanoma of the Skin,2005,New Jersey,0.135,2.828,21.017
Melanoma of the Skin,2005,New Mexico,0.122,2.311,18.909
Melanoma of the Skin,2005,New York,0.136,2.18,16.076
Melanoma of the Skin,2005,North Carolina,0.152,3.119,20.534
Melanoma of the Skin,2005,Ohio,0.129,2.687,20.798
Melanoma of the Skin,2005,Oklahoma,0.218,3.74,17.126
Melanoma of the Skin,2005,Oregon,0.112,3.031,27.028
Melanoma of the Skin,2005,Pennsylvania,0.17,3.113,18.344
Melanoma of the Skin,2005,Rhode Island,0.136,3.178,23.415
Melanoma of the Skin,2005,South Carolina,0.102,2.344,23.004
Melanoma of the Skin,2005,South Dakota,0.139,1.888,13.625
Melanoma of the Skin,2005,Tennessee,0.155,3.144,20.242
Melanoma of the Skin,2005,Texas,0.174,2.408,13.829
Melanoma of the Skin,2005,Utah,0.133,3.787,28.518
Melanoma of the Skin,2005,Vermont,0.105,3.497,33.375
Melanoma of the Skin,2005,Virginia,0.132,2.788,21.139
Melanoma of the Skin,2005,Washington,0.105,2.737,26.055
Melanoma of the Skin,2005,West Virginia,0.198,3.608,18.265
Melanoma of the Skin,2005,Wisconsin,0.175,2.933,16.766
Melanoma of the Skin,2006,Alabama,0.16,2.954,18.436
Melanoma of the Skin,2006,Arizona,0.178,2.933,16.478
Melanoma of the Skin,2006,Arkansas,0.172,2.544,14.811
Melanoma of the Skin,2006,California,0.133,2.659,19.933
Melanoma of the Skin,2006,Colorado,0.123,2.989,24.333
Melanoma of the Skin,2006,Connecticut,0.099,2.492,25.181
Melanoma of the Skin,2006,Delaware,0.084,2.289,27.229
Melanoma of the Skin,2006,Florida,0.159,2.998,18.824
Melanoma of the Skin,2006,Georgia,0.119,2.559,21.427
Melanoma of the Skin,2006,Hawaii,0.088,1.798,20.461
Melanoma of the Skin,2006,Idaho,0.119,2.721,22.922
Melanoma of the Skin,2006,Illinois,0.16,2.589,16.208
Melanoma of the Skin,2006,Indiana,0.161,2.852,17.689
Melanoma of the Skin,2006,Iowa,0.126,2.636,20.975
Melanoma of the Skin,2006,Kansas,0.125,2.839,22.71
Melanoma of the Skin,2006,Kentucky,0.129,2.82,21.883
Melanoma of the Skin,2006,Louisiana,0.16,2.253,14.05
Melanoma of the Skin,2006,Maine,0.152,3.278,21.627
Melanoma of the Skin,2006,Maryland,0.15,3.053,20.391
Melanoma of the Skin,2006,Massachusetts,0.117,3.007,25.781
Melanoma of the Skin,2006,Michigan,0.14,2.402,17.155
Melanoma of the Skin,2006,Minnesota,0.107,2.352,21.901
Melanoma of the Skin,2006,Mississippi,0.159,2.44,15.322
Melanoma of the Skin,2006,Missouri,0.192,3.383,17.655
Melanoma of the Skin,2006,Montana,0.132,2.651,20.147
Melanoma of the Skin,2006,Nebraska,0.173,3.044,17.585
Melanoma of the Skin,2006,Nevada,0.167,2.367,14.142
Melanoma of the Skin,2006,New Hampshire,0.114,3.343,29.254
Melanoma of the Skin,2006,New Jersey,0.121,2.667,22.071
Melanoma of the Skin,2006,New Mexico,0.201,3.473,17.255
Melanoma of the Skin,2006,New York,0.128,2.275,17.752
Melanoma of the Skin,2006,North Carolina,0.164,3.172,19.395
Melanoma of the Skin,2006,North Dakota,0.142,2.262,15.896
Melanoma of the Skin,2006,Ohio,0.145,2.776,19.145
Melanoma of the Skin,2006,Oklahoma,0.179,3.239,18.063
Melanoma of the Skin,2006,Oregon,0.123,3.016,24.595
Melanoma of the Skin,2006,Pennsylvania,0.154,2.794,18.199
Melanoma of the Skin,2006,Rhode Island,0.148,3.633,24.504
Melanoma of the Skin,2006,South Carolina,0.116,2.579,22.242
Melanoma of the Skin,2006,South Dakota,0.154,2.621,17.045
Melanoma of the Skin,2006,Tennessee,0.149,3.065,20.564
Melanoma of the Skin,2006,Texas,0.18,2.474,13.748
Melanoma of the Skin,2006,Utah,0.125,3.796,30.473
Melanoma of the Skin,2006,Vermont,0.105,2.966,28.197
Melanoma of the Skin,2006,Virginia,0.135,2.856,21.209
Melanoma of the Skin,2006,Washington,0.118,2.973,25.126
Melanoma of the Skin,2006,West Virginia,0.152,2.746,18.113
Melanoma of the Skin,2006,Wisconsin,0.14,2.512,17.927
Melanoma of the Skin,2006,Wyoming,0.197,3.687,18.691
Melanoma of the Skin,2007,Alabama,0.153,2.969,19.372
Melanoma of the Skin,2007,Arizona,0.189,2.984,15.828
Melanoma of the Skin,2007,Arkansas,0.18,2.64,14.647
Melanoma of the Skin,2007,California,0.116,2.457,21.106
Melanoma of the Skin,2007,Colorado,0.165,3.526,21.375
Melanoma of the Skin,2007,Connecticut,0.11,2.577,23.514
Melanoma of the Skin,2007,Delaware,0.156,3.571,22.868
Melanoma of the Skin,2007,Florida,0.145,3.042,21.02
Melanoma of the Skin,2007,Georgia,0.109,2.347,21.45
Melanoma of the Skin,2007,Hawaii,0.086,1.494,17.423
Melanoma of the Skin,2007,Idaho,0.125,3.058,24.407
Melanoma of the Skin,2007,Illinois,0.153,2.601,16.98
Melanoma of the Skin,2007,Indiana,0.162,2.891,17.793
Melanoma of the Skin,2007,Iowa,0.105,2.099,19.984
Melanoma of the Skin,2007,Kansas,0.152,3.292,21.658
Melanoma of the Skin,2007,Kentucky,0.151,3.7,24.436
Melanoma of the Skin,2007,Louisiana,0.134,1.823,13.574
Melanoma of the Skin,2007,Maine,0.119,2.774,23.333
Melanoma of the Skin,2007,Maryland,0.11,2.444,22.195
Melanoma of the Skin,2007,Massachusetts,0.126,2.969,23.541
Melanoma of the Skin,2007,Michigan,0.123,2.346,19.057
Melanoma of the Skin,2007,Minnesota,0.096,2.286,23.803
Melanoma of the Skin,2007,Mississippi,0.171,2.639,15.4
Melanoma of the Skin,2007,Missouri,0.162,2.909,18.002
Melanoma of the Skin,2007,Montana,0.126,2.73,21.659
Melanoma of the Skin,2007,Nebraska,0.109,1.957,17.937
Melanoma of the Skin,2007,Nevada,0.193,3.084,15.994
Melanoma of the Skin,2007,New Hampshire,0.087,2.331,26.688
Melanoma of the Skin,2007,New Jersey,0.122,2.75,22.572
Melanoma of the Skin,2007,New Mexico,0.17,2.648,15.619
Melanoma of the Skin,2007,New York,0.137,2.201,16.119
Melanoma of the Skin,2007,North Carolina,0.134,2.822,21.032
Melanoma of the Skin,2007,Ohio,0.13,2.556,19.605
Melanoma of the Skin,2007,Oklahoma,0.181,3.904,21.524
Melanoma of the Skin,2007,Oregon,0.114,2.844,24.991
Melanoma of the Skin,2007,Pennsylvania,0.154,2.666,17.343
Melanoma of the Skin,2007,Rhode Island,0.105,2.049,19.592
Melanoma of the Skin,2007,South Carolina,0.116,2.662,22.933
Melanoma of the Skin,2007,South Dakota,0.246,3.716,15.11
Melanoma of the Skin,2007,Tennessee,0.124,2.661,21.387
Melanoma of the Skin,2007,Texas,0.187,2.672,14.325
Melanoma of the Skin,2007,Utah,0.105,3.144,30.061
Melanoma of the Skin,2007,Vermont,0.105,2.97,28.198
Melanoma of the Skin,2007,Virginia,0.133,3.061,23.021
Melanoma of the Skin,2007,Washington,0.128,3.111,24.257
Melanoma of the Skin,2007,West Virginia,0.154,2.989,19.381
Melanoma of the Skin,2007,Wisconsin,0.138,2.565,18.605
Melanoma of the Skin,2007,Wyoming,0.192,3.314,17.252
Melanoma of the Skin,2008,Alabama,0.131,2.734,20.887
Melanoma of the Skin,2008,Arizona,0.161,2.541,15.823
Melanoma of the Skin,2008,Arkansas,0.184,2.615,14.214
Melanoma of the Skin,2008,California,0.123,2.651,21.48
Melanoma of the Skin,2008,Colorado,0.167,3.598,21.492
Melanoma of the Skin,2008,Connecticut,0.099,2.288,23.082
Melanoma of the Skin,2008,Delaware,0.093,2.295,24.722
Melanoma of the Skin,2008,Florida,0.138,2.841,20.563
Melanoma of the Skin,2008,Georgia,0.115,2.488,21.708
Melanoma of the Skin,2008,Hawaii,0.055,1.092,19.717
Melanoma of the Skin,2008,Idaho,0.147,3.172,21.587
Melanoma of the Skin,2008,Illinois,0.127,2.264,17.856
Melanoma of the Skin,2008,Indiana,0.157,2.791,17.824
Melanoma of the Skin,2008,Iowa,0.13,2.851,21.925
Melanoma of the Skin,2008,Kansas,0.13,3.086,23.811
Melanoma of the Skin,2008,Kentucky,0.148,3.443,23.26
Melanoma of the Skin,2008,Louisiana,0.169,2.262,13.375
Melanoma of the Skin,2008,Maine,0.139,2.922,20.968
Melanoma of the Skin,2008,Maryland,0.124,2.648,21.438
Melanoma of the Skin,2008,Massachusetts,0.123,2.864,23.28
Melanoma of the Skin,2008,Michigan,0.115,2.373,20.643
Melanoma of the Skin,2008,Minnesota,0.091,2.234,24.538
Melanoma of the Skin,2008,Mississippi,0.127,2.132,16.841
Melanoma of the Skin,2008,Missouri,0.163,2.92,17.908
Melanoma of the Skin,2008,Montana,0.119,2.431,20.355
Melanoma of the Skin,2008,Nebraska,0.213,3.905,18.304
Melanoma of the Skin,2008,Nevada,0.19,2.757,14.54
Melanoma of the Skin,2008,New Hampshire,0.113,3.176,28.214
Melanoma of the Skin,2008,New Jersey,0.132,2.859,21.698
Melanoma of the Skin,2008,New Mexico,0.114,2.525,22.092
Melanoma of the Skin,2008,New York,0.126,2.175,17.289
Melanoma of the Skin,2008,North Carolina,0.132,3.016,22.873
Melanoma of the Skin,2008,Ohio,0.134,2.74,20.433
Melanoma of the Skin,2008,Oklahoma,0.199,3.348,16.848
Melanoma of the Skin,2008,Oregon,0.106,3.077,29.038
Melanoma of the Skin,2008,Pennsylvania,0.156,2.856,18.302
Melanoma of the Skin,2008,Rhode Island,0.088,1.818,20.625
Melanoma of the Skin,2008,South Carolina,0.115,2.665,23.254
Melanoma of the Skin,2008,South Dakota,0.174,2.601,14.984
Melanoma of the Skin,2008,Tennessee,0.163,3.113,19.097
Melanoma of the Skin,2008,Texas,0.174,2.463,14.153
Melanoma of the Skin,2008,Utah,0.095,2.868,30.335
Melanoma of the Skin,2008,Vermont,0.151,3.96,26.282
Melanoma of the Skin,2008,Virginia,0.145,3.018,20.771
Melanoma of the Skin,2008,Washington,0.121,3.087,25.532
Melanoma of the Skin,2008,West Virginia,0.166,3.326,20.009
Melanoma of the Skin,2008,Wisconsin,0.139,2.64,18.996
Melanoma of the Skin,2008,Wyoming,0.134,3.043,22.778
