Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Non-Hodgkin Lymphoma,2000,South,Black or African American,0.406,5.162,12.705
Non-Hodgkin Lymphoma,2000,South,White,0.435,8.227,18.901
Non-Hodgkin Lymphoma,2000,West,American Indian or Alaska Native,0.502,5.256,10.465
Non-Hodgkin Lymphoma,2000,West,Asian or Pacific Islander,0.406,5.647,13.902
Non-Hodgkin Lymphoma,2000,West,Black or African American,0.317,4.941,15.591
Non-Hodgkin Lymphoma,2000,West,White,0.418,8.165,19.552
Non-Hodgkin Lymphoma,2001,Northeast,Asian or Pacific Islander,0.319,4.216,13.235
Non-Hodgkin Lymphoma,2001,Northeast,Black or African American,0.342,5.282,15.454
Non-Hodgkin Lymphoma,2001,Northeast,White,0.391,8.312,21.272
Non-Hodgkin Lymphoma,2001,Midwest,American Indian or Alaska Native,0.55,7.095,12.891
Non-Hodgkin Lymphoma,2001,Midwest,Asian or Pacific Islander,0.392,4.148,10.572
Non-Hodgkin Lymphoma,2001,Midwest,Black or African American,0.403,6.039,14.997
Non-Hodgkin Lymphoma,2001,Midwest,White,0.435,8.778,20.184
Non-Hodgkin Lymphoma,2001,South,American Indian or Alaska Native,0.3,4.431,14.756
Non-Hodgkin Lymphoma,2001,South,Asian or Pacific Islander,0.363,3.375,9.303
Non-Hodgkin Lymphoma,2001,South,Black or African American,0.432,5.601,12.966
Non-Hodgkin Lymphoma,2001,South,White,0.42,7.989,19.001
Non-Hodgkin Lymphoma,2001,West,American Indian or Alaska Native,0.608,6.879,11.317
Non-Hodgkin Lymphoma,2001,West,Asian or Pacific Islander,0.373,5.444,14.597
Non-Hodgkin Lymphoma,2001,West,Black or African American,0.411,5.8,14.118
Non-Hodgkin Lymphoma,2001,West,White,0.4,7.827,19.591
Non-Hodgkin Lymphoma,2002,Northeast,Asian or Pacific Islander,0.24,2.834,11.818
Non-Hodgkin Lymphoma,2002,Northeast,Black or African American,0.389,5.842,15.024
Non-Hodgkin Lymphoma,2002,Northeast,White,0.374,8.002,21.369
Non-Hodgkin Lymphoma,2002,Midwest,Asian or Pacific Islander,0.259,3.52,13.599
Non-Hodgkin Lymphoma,2002,Midwest,Black or African American,0.43,5.793,13.487
Non-Hodgkin Lymphoma,2002,Midwest,White,0.411,8.366,20.347
Non-Hodgkin Lymphoma,2002,South,Asian or Pacific Islander,0.344,3.968,11.541
Non-Hodgkin Lymphoma,2002,South,Black or African American,0.391,5.165,13.208
Non-Hodgkin Lymphoma,2002,South,White,0.403,7.793,19.337
Non-Hodgkin Lymphoma,2002,West,American Indian or Alaska Native,0.317,3.365,10.619
Non-Hodgkin Lymphoma,2002,West,Asian or Pacific Islander,0.373,5.199,13.938
Non-Hodgkin Lymphoma,2002,West,Black or African American,0.351,5.346,15.231
Non-Hodgkin Lymphoma,2002,West,White,0.388,7.741,19.935
Non-Hodgkin Lymphoma,2003,Northeast,Asian or Pacific Islander,0.391,4.559,11.65
Non-Hodgkin Lymphoma,2003,Northeast,Black or African American,0.326,5.024,15.405
Non-Hodgkin Lymphoma,2003,Northeast,White,0.352,7.662,21.77
Non-Hodgkin Lymphoma,2003,Midwest,Asian or Pacific Islander,0.43,6.089,14.16
Non-Hodgkin Lymphoma,2003,Midwest,Black or African American,0.329,4.491,13.638
Non-Hodgkin Lymphoma,2003,Midwest,White,0.392,8.106,20.667
Non-Hodgkin Lymphoma,2003,South,American Indian or Alaska Native,0.203,3.559,17.569
Non-Hodgkin Lymphoma,2003,South,Asian or Pacific Islander,0.282,3.089,10.952
Non-Hodgkin Lymphoma,2003,South,Black or African American,0.381,5.141,13.484
Non-Hodgkin Lymphoma,2003,South,White,0.386,7.518,19.486
Non-Hodgkin Lymphoma,2003,West,American Indian or Alaska Native,0.346,4.695,13.55
Non-Hodgkin Lymphoma,2003,West,Asian or Pacific Islander,0.387,5.438,14.041
Non-Hodgkin Lymphoma,2003,West,Black or African American,0.295,4.515,15.303
Non-Hodgkin Lymphoma,2003,West,White,0.381,7.508,19.717
Non-Hodgkin Lymphoma,2004,Northeast,Asian or Pacific Islander,0.36,3.888,10.79
Non-Hodgkin Lymphoma,2004,Northeast,Black or African American,0.297,4.444,14.959
Non-Hodgkin Lymphoma,2004,Northeast,White,0.341,7.476,21.909
Non-Hodgkin Lymphoma,2004,Midwest,Asian or Pacific Islander,0.307,3.64,11.844
Non-Hodgkin Lymphoma,2004,Midwest,Black or African American,0.312,4.896,15.678
Non-Hodgkin Lymphoma,2004,Midwest,White,0.358,7.707,21.505
Non-Hodgkin Lymphoma,2004,South,American Indian or Alaska Native,0.28,3.081,11.015
Non-Hodgkin Lymphoma,2004,South,Asian or Pacific Islander,0.376,4.042,10.747
Non-Hodgkin Lymphoma,2004,South,Black or African American,0.354,5.038,14.232
Non-Hodgkin Lymphoma,2004,South,White,0.367,7.284,19.861
Non-Hodgkin Lymphoma,2004,West,American Indian or Alaska Native,0.401,4.705,11.721
Non-Hodgkin Lymphoma,2004,West,Asian or Pacific Islander,0.357,4.993,13.981
Non-Hodgkin Lymphoma,2004,West,Black or African American,0.445,6.34,14.245
Non-Hodgkin Lymphoma,2004,West,White,0.35,7.051,20.147
Non-Hodgkin Lymphoma,2005,Northeast,Asian or Pacific Islander,0.25,3.11,12.437
Non-Hodgkin Lymphoma,2005,Northeast,Black or African American,0.301,4.584,15.244
Non-Hodgkin Lymphoma,2005,Northeast,White,0.326,7.222,22.165
Non-Hodgkin Lymphoma,2005,Midwest,American Indian or Alaska Native,0.488,7.888,16.17
Non-Hodgkin Lymphoma,2005,Midwest,Asian or Pacific Islander,0.349,4.907,14.071
Non-Hodgkin Lymphoma,2005,Midwest,Black or African American,0.333,4.68,14.056
Non-Hodgkin Lymphoma,2005,Midwest,White,0.368,7.665,20.842
Non-Hodgkin Lymphoma,2005,South,American Indian or Alaska Native,0.313,3.781,12.097
Non-Hodgkin Lymphoma,2005,South,Asian or Pacific Islander,0.386,4.452,11.519
Non-Hodgkin Lymphoma,2005,South,Black or African American,0.345,4.854,14.086
Non-Hodgkin Lymphoma,2005,South,White,0.358,7.153,20
Non-Hodgkin Lymphoma,2005,West,American Indian or Alaska Native,0.294,3.815,12.994
Non-Hodgkin Lymphoma,2005,West,Asian or Pacific Islander,0.342,4.608,13.481
Non-Hodgkin Lymphoma,2005,West,Black or African American,0.331,4.895,14.776
Non-Hodgkin Lymphoma,2005,West,White,0.345,6.91,20.02
Non-Hodgkin Lymphoma,2006,Northeast,Asian or Pacific Islander,0.281,3.161,11.249
Non-Hodgkin Lymphoma,2006,Northeast,Black or African American,0.321,4.678,14.563
Non-Hodgkin Lymphoma,2006,Northeast,White,0.316,7.126,22.527
Non-Hodgkin Lymphoma,2006,Midwest,Asian or Pacific Islander,0.281,3.119,11.091
Non-Hodgkin Lymphoma,2006,Midwest,Black or African American,0.333,4.729,14.215
Non-Hodgkin Lymphoma,2006,Midwest,White,0.349,7.303,20.922
Non-Hodgkin Lymphoma,2006,South,American Indian or Alaska Native,0.285,3.844,13.489
Non-Hodgkin Lymphoma,2006,South,Asian or Pacific Islander,0.34,3.522,10.369
Non-Hodgkin Lymphoma,2006,South,Black or African American,0.358,4.892,13.672
Non-Hodgkin Lymphoma,2006,South,White,0.353,6.913,19.605
Non-Hodgkin Lymphoma,2006,West,American Indian or Alaska Native,0.357,4.053,11.353
Non-Hodgkin Lymphoma,2006,West,Asian or Pacific Islander,0.357,4.44,12.45
Non-Hodgkin Lymphoma,2006,West,Black or African American,0.407,6.012,14.774
Non-Hodgkin Lymphoma,2006,West,White,0.339,6.69,19.722
Non-Hodgkin Lymphoma,2007,Northeast,Asian or Pacific Islander,0.291,3.458,11.875
Non-Hodgkin Lymphoma,2007,Northeast,Black or African American,0.285,4.195,14.733
Non-Hodgkin Lymphoma,2007,Northeast,White,0.308,6.81,22.103
Non-Hodgkin Lymphoma,2007,Midwest,American Indian or Alaska Native,0.706,7.346,10.402
Non-Hodgkin Lymphoma,2007,Midwest,Asian or Pacific Islander,0.306,3.497,11.435
Non-Hodgkin Lymphoma,2007,Midwest,Black or African American,0.316,4.724,14.954
Non-Hodgkin Lymphoma,2007,Midwest,White,0.346,7.222,20.895
Non-Hodgkin Lymphoma,2007,South,American Indian or Alaska Native,0.243,3.426,14.112
Non-Hodgkin Lymphoma,2007,South,Asian or Pacific Islander,0.353,3.555,10.074
Non-Hodgkin Lymphoma,2007,South,Black or African American,0.319,4.535,14.223
Non-Hodgkin Lymphoma,2007,South,White,0.338,6.703,19.849
Non-Hodgkin Lymphoma,2007,West,American Indian or Alaska Native,0.358,4.021,11.229
Non-Hodgkin Lymphoma,2007,West,Asian or Pacific Islander,0.381,5.012,13.144
Non-Hodgkin Lymphoma,2007,West,Black or African American,0.354,4.725,13.346
Non-Hodgkin Lymphoma,2007,West,White,0.341,6.769,19.852
Non-Hodgkin Lymphoma,2008,Northeast,Asian or Pacific Islander,0.281,3.394,12.066
Non-Hodgkin Lymphoma,2008,Northeast,Black or African American,0.282,4.326,15.357
Non-Hodgkin Lymphoma,2008,Northeast,White,0.299,6.667,22.321
Non-Hodgkin Lymphoma,2008,Midwest,Asian or Pacific Islander,0.306,4.055,13.263
Non-Hodgkin Lymphoma,2008,Midwest,Black or African American,0.316,4.259,13.48
Non-Hodgkin Lymphoma,2008,Midwest,White,0.341,7.077,20.778
Non-Hodgkin Lymphoma,2008,South,American Indian or Alaska Native,0.243,3.355,13.823
Non-Hodgkin Lymphoma,2008,South,Asian or Pacific Islander,0.274,3.327,12.141
Non-Hodgkin Lymphoma,2008,South,Black or African American,0.314,4.254,13.552
Non-Hodgkin Lymphoma,2008,South,White,0.336,6.632,19.754
Non-Hodgkin Lymphoma,2008,West,American Indian or Alaska Native,0.244,2.773,11.366
Non-Hodgkin Lymphoma,2008,West,Asian or Pacific Islander,0.313,4.483,14.314
Non-Hodgkin Lymphoma,2008,West,Black or African American,0.331,4.77,14.412
Non-Hodgkin Lymphoma,2008,West,White,0.327,6.461,19.763
Non-Hodgkin Lymphoma,2009,Northeast,Asian or Pacific Islander,0.245,3.203,13.048
Non-Hodgkin Lymphoma,2009,Northeast,Black or African American,0.271,4.411,16.276
Non-Hodgkin Lymphoma,2009,Northeast,White,0.277,6.287,22.694
Non-Hodgkin Lymphoma,2009,Midwest,Asian or Pacific Islander,0.399,5.456,13.682
Non-Hodgkin Lymphoma,2009,Midwest,Black or African American,0.338,4.941,14.624
Non-Hodgkin Lymphoma,2009,Midwest,White,0.336,7.017,20.88
Non-Hodgkin Lymphoma,2009,South,American Indian or Alaska Native,0.32,4.11,12.85
Non-Hodgkin Lymphoma,2009,South,Asian or Pacific Islander,0.317,3.308,10.451
Non-Hodgkin Lymphoma,2009,South,Black or African American,0.308,4.428,14.398
Non-Hodgkin Lymphoma,2009,South,White,0.331,6.52,19.722
Non-Hodgkin Lymphoma,2009,West,American Indian or Alaska Native,0.329,3.999,12.164
Non-Hodgkin Lymphoma,2009,West,Asian or Pacific Islander,0.311,4.456,14.312
Non-Hodgkin Lymphoma,2009,West,Black or African American,0.295,4.29,14.545
Non-Hodgkin Lymphoma,2009,West,White,0.321,6.329,19.722
Non-Hodgkin Lymphoma,2010,Northeast,Asian or Pacific Islander,0.285,3.362,11.806
Non-Hodgkin Lymphoma,2010,Northeast,Black or African American,0.308,4.641,15.065
Non-Hodgkin Lymphoma,2010,Northeast,White,0.282,6.257,22.156
Non-Hodgkin Lymphoma,2010,Midwest,Asian or Pacific Islander,0.273,3.571,13.089
Non-Hodgkin Lymphoma,2010,Midwest,Black or African American,0.327,4.974,15.225
Non-Hodgkin Lymphoma,2010,Midwest,White,0.326,6.868,21.064
Non-Hodgkin Lymphoma,2010,South,American Indian or Alaska Native,0.257,3.61,14.071
Non-Hodgkin Lymphoma,2010,South,Asian or Pacific Islander,0.233,2.72,11.67
Non-Hodgkin Lymphoma,2010,South,Black or African American,0.306,4.43,14.489
Non-Hodgkin Lymphoma,2010,South,White,0.324,6.306,19.458
Non-Hodgkin Lymphoma,2010,West,American Indian or Alaska Native,0.266,3.197,12.039
Non-Hodgkin Lymphoma,2010,West,Asian or Pacific Islander,0.336,4.604,13.69
Non-Hodgkin Lymphoma,2010,West,Black or African American,0.309,4.49,14.52
Non-Hodgkin Lymphoma,2010,West,White,0.309,6.02,19.482
Non-Hodgkin Lymphoma,2011,Northeast,Asian or Pacific Islander,0.285,3.82,13.408
Non-Hodgkin Lymphoma,2011,Northeast,Black or African American,0.254,3.944,15.525
Non-Hodgkin Lymphoma,2011,Northeast,White,0.285,6.301,22.143
Non-Hodgkin Lymphoma,2011,Midwest,Asian or Pacific Islander,0.245,3.288,13.404
Non-Hodgkin Lymphoma,2011,Midwest,Black or African American,0.338,4.638,13.705
Non-Hodgkin Lymphoma,2011,Midwest,White,0.33,6.797,20.576
Non-Hodgkin Lymphoma,2011,South,American Indian or Alaska Native,0.238,2.787,11.72
Non-Hodgkin Lymphoma,2011,South,Asian or Pacific Islander,0.263,3.252,12.377
Non-Hodgkin Lymphoma,2011,South,Black or African American,0.32,4.413,13.8
Non-Hodgkin Lymphoma,2011,South,White,0.304,6.083,20.005
Non-Hodgkin Lymphoma,2011,West,American Indian or Alaska Native,0.266,2.79,10.482
Non-Hodgkin Lymphoma,2011,West,Asian or Pacific Islander,0.31,4.295,13.873
Non-Hodgkin Lymphoma,2011,West,Black or African American,0.31,4.437,14.323
Non-Hodgkin Lymphoma,2011,West,White,0.314,6.034,19.193
Non-Hodgkin Lymphoma,2012,Northeast,Asian or Pacific Islander,0.271,3.312,12.219
Non-Hodgkin Lymphoma,2012,Northeast,Black or African American,0.248,3.873,15.642
Non-Hodgkin Lymphoma,2012,Northeast,White,0.273,6.048,22.121
Non-Hodgkin Lymphoma,2012,Midwest,Asian or Pacific Islander,0.282,3.806,13.483
Non-Hodgkin Lymphoma,2012,Midwest,Black or African American,0.323,4.5,13.931
Non-Hodgkin Lymphoma,2012,Midwest,White,0.319,6.501,20.374
Non-Hodgkin Lymphoma,2012,South,American Indian or Alaska Native,0.196,2.695,13.776
Non-Hodgkin Lymphoma,2012,South,Asian or Pacific Islander,0.326,3.625,11.129
Non-Hodgkin Lymphoma,2012,South,Black or African American,0.307,4.288,13.974
Non-Hodgkin Lymphoma,2012,South,White,0.318,6.136,19.285
Non-Hodgkin Lymphoma,2012,West,American Indian or Alaska Native,0.314,3.51,11.166
Non-Hodgkin Lymphoma,2012,West,Asian or Pacific Islander,0.321,4.348,13.532
Non-Hodgkin Lymphoma,2012,West,Black or African American,0.324,4.403,13.597
Non-Hodgkin Lymphoma,2012,West,White,0.317,5.979,18.892
Non-Hodgkin Lymphoma,2013,Northeast,Asian or Pacific Islander,0.296,3.516,11.876
Non-Hodgkin Lymphoma,2013,Northeast,Black or African American,0.267,3.967,14.875
Non-Hodgkin Lymphoma,2013,Northeast,White,0.263,5.758,21.906
Non-Hodgkin Lymphoma,2013,Midwest,Asian or Pacific Islander,0.369,4.325,11.725
Non-Hodgkin Lymphoma,2013,Midwest,Black or African American,0.26,3.782,14.544
Non-Hodgkin Lymphoma,2013,Midwest,White,0.31,6.235,20.092
Non-Hodgkin Lymphoma,2013,South,American Indian or Alaska Native,0.315,3.616,11.467
Non-Hodgkin Lymphoma,2013,South,Asian or Pacific Islander,0.389,4.971,12.787
Non-Hodgkin Lymphoma,2013,South,Black or African American,0.294,4.253,14.481
Non-Hodgkin Lymphoma,2013,South,White,0.297,5.989,20.18
Non-Hodgkin Lymphoma,2013,West,American Indian or Alaska Native,0.354,3.626,10.234
Non-Hodgkin Lymphoma,2013,West,Asian or Pacific Islander,0.272,3.674,13.522
Non-Hodgkin Lymphoma,2013,West,Black or African American,0.296,4.184,14.133
Non-Hodgkin Lymphoma,2013,West,White,0.306,5.764,18.813
Non-Hodgkin Lymphoma,2014,Northeast,Asian or Pacific Islander,0.236,2.807,11.878
Non-Hodgkin Lymphoma,2014,Northeast,Black or African American,0.239,3.688,15.415
Non-Hodgkin Lymphoma,2014,Northeast,White,0.267,5.87,21.991
Non-Hodgkin Lymphoma,2014,Midwest,Asian or Pacific Islander,0.309,3.882,12.548
Non-Hodgkin Lymphoma,2014,Midwest,Black or African American,0.323,4.713,14.606
Non-Hodgkin Lymphoma,2014,Midwest,White,0.312,6.272,20.13
Non-Hodgkin Lymphoma,2014,South,American Indian or Alaska Native,0.269,3.081,11.447
Non-Hodgkin Lymphoma,2014,South,Asian or Pacific Islander,0.346,4.368,12.608
Non-Hodgkin Lymphoma,2014,South,Black or African American,0.29,4.133,14.228
Non-Hodgkin Lymphoma,2014,South,White,0.293,5.74,19.564
Non-Hodgkin Lymphoma,2014,West,American Indian or Alaska Native,0.247,2.419,9.804
Non-Hodgkin Lymphoma,2014,West,Asian or Pacific Islander,0.294,4.154,14.13
Non-Hodgkin Lymphoma,2014,West,Black or African American,0.31,4.536,14.654
Non-Hodgkin Lymphoma,2014,West,White,0.303,5.75,19.003
Non-Hodgkin Lymphoma,2015,Northeast,Asian or Pacific Islander,0.276,3.627,13.133
Non-Hodgkin Lymphoma,2015,Northeast,Black or African American,0.272,3.948,14.539
Non-Hodgkin Lymphoma,2015,Northeast,White,0.261,5.738,21.959
Non-Hodgkin Lymphoma,2015,Midwest,American Indian or Alaska Native,0.365,5.153,14.109
Non-Hodgkin Lymphoma,2015,Midwest,Asian or Pacific Islander,0.346,4.374,12.647
Non-Hodgkin Lymphoma,2015,Midwest,Black or African American,0.271,3.867,14.247
Non-Hodgkin Lymphoma,2015,Midwest,White,0.3,6.148,20.475
Non-Hodgkin Lymphoma,2015,South,American Indian or Alaska Native,0.166,2.123,12.778
Non-Hodgkin Lymphoma,2015,South,Asian or Pacific Islander,0.26,3.017,11.621
Non-Hodgkin Lymphoma,2015,South,Black or African American,0.293,4.139,14.118
Non-Hodgkin Lymphoma,2015,South,White,0.284,5.552,19.535
Non-Hodgkin Lymphoma,2015,West,American Indian or Alaska Native,0.39,4.465,11.442
Non-Hodgkin Lymphoma,2015,West,Asian or Pacific Islander,0.323,4.281,13.252
Non-Hodgkin Lymphoma,2015,West,Black or African American,0.3,3.939,13.13
Non-Hodgkin Lymphoma,2015,West,White,0.297,5.407,18.182
Non-Hodgkin Lymphoma,2016,Northeast,Asian or Pacific Islander,0.264,3.155,11.941
Non-Hodgkin Lymphoma,2016,Northeast,Black or African American,0.25,3.747,14.985
Non-Hodgkin Lymphoma,2016,Northeast,White,0.277,5.75,20.759
Non-Hodgkin Lymphoma,2016,Midwest,Asian or Pacific Islander,0.26,3.219,12.365
Non-Hodgkin Lymphoma,2016,Midwest,Black or African American,0.266,3.654,13.718
Non-Hodgkin Lymphoma,2016,Midwest,White,0.301,5.879,19.508
Non-Hodgkin Lymphoma,2016,South,American Indian or Alaska Native,0.26,2.843,10.934
Non-Hodgkin Lymphoma,2016,South,Asian or Pacific Islander,0.314,3.692,11.741
Non-Hodgkin Lymphoma,2016,South,Black or African American,0.289,3.87,13.402
Non-Hodgkin Lymphoma,2016,South,White,0.311,5.57,17.911
Non-Hodgkin Lymphoma,2016,West,American Indian or Alaska Native,0.332,3.319,10.01
Non-Hodgkin Lymphoma,2016,West,Asian or Pacific Islander,0.307,4.005,13.052
Non-Hodgkin Lymphoma,2016,West,Black or African American,0.319,4.101,12.871
Non-Hodgkin Lymphoma,2016,West,White,0.298,5.312,17.808
Oral Cavity and Pharynx,1999,Northeast,Asian or Pacific Islander,0.254,2.396,9.428
Oral Cavity and Pharynx,1999,Northeast,Black or African American,0.363,3.992,11.006
Oral Cavity and Pharynx,1999,Northeast,White,0.235,2.412,10.25
Oral Cavity and Pharynx,1999,Midwest,Asian or Pacific Islander,0.251,1.922,7.663
Oral Cavity and Pharynx,1999,Midwest,Black or African American,0.32,3.99,12.466
Oral Cavity and Pharynx,1999,Midwest,White,0.223,2.318,10.378
Oral Cavity and Pharynx,1999,South,Black or African American,0.395,4.719,11.948
Oral Cavity and Pharynx,1999,South,White,0.238,2.759,11.604
Oral Cavity and Pharynx,1999,West,Asian or Pacific Islander,0.315,2.635,8.357
Oral Cavity and Pharynx,1999,West,Black or African American,0.325,3.461,10.664
Oral Cavity and Pharynx,1999,West,White,0.253,2.622,10.379
Oral Cavity and Pharynx,2000,Northeast,Asian or Pacific Islander,0.187,1.779,9.503
Oral Cavity and Pharynx,2000,Northeast,Black or African American,0.347,3.876,11.181
Oral Cavity and Pharynx,2000,Northeast,White,0.233,2.297,9.837
Oral Cavity and Pharynx,2000,Midwest,Black or African American,0.352,4.165,11.845
Oral Cavity and Pharynx,2000,Midwest,White,0.228,2.377,10.433
Oral Cavity and Pharynx,2000,South,Asian or Pacific Islander,0.281,1.967,7.007
Oral Cavity and Pharynx,2000,South,Black or African American,0.399,4.356,10.906
Oral Cavity and Pharynx,2000,South,White,0.234,2.781,11.904
Oral Cavity and Pharynx,2000,West,American Indian or Alaska Native,0.335,2.283,6.808
Oral Cavity and Pharynx,2000,West,Asian or Pacific Islander,0.318,2.894,9.092
Oral Cavity and Pharynx,2000,West,Black or African American,0.314,3.029,9.649
Oral Cavity and Pharynx,2000,West,White,0.235,2.505,10.668
Oral Cavity and Pharynx,2001,Northeast,Asian or Pacific Islander,0.275,2.878,10.482
Oral Cavity and Pharynx,2001,Northeast,Black or African American,0.351,3.495,9.964
Oral Cavity and Pharynx,2001,Northeast,White,0.252,2.51,9.949
Oral Cavity and Pharynx,2001,Midwest,Asian or Pacific Islander,0.443,3.579,8.087
Oral Cavity and Pharynx,2001,Midwest,Black or African American,0.316,3.543,11.219
Oral Cavity and Pharynx,2001,Midwest,White,0.225,2.321,10.316
Oral Cavity and Pharynx,2001,South,Asian or Pacific Islander,0.271,1.702,6.275
Oral Cavity and Pharynx,2001,South,Black or African American,0.354,4.115,11.625
Oral Cavity and Pharynx,2001,South,White,0.237,2.754,11.627
Oral Cavity and Pharynx,2001,West,American Indian or Alaska Native,0.285,2.015,7.08
Oral Cavity and Pharynx,2001,West,Asian or Pacific Islander,0.313,2.341,7.47
Oral Cavity and Pharynx,2001,West,Black or African American,0.362,3.637,10.044
Oral Cavity and Pharynx,2001,West,White,0.249,2.649,10.634
Oral Cavity and Pharynx,2002,Northeast,Asian or Pacific Islander,0.338,2.681,7.942
Oral Cavity and Pharynx,2002,Northeast,Black or African American,0.276,3.197,11.567
Oral Cavity and Pharynx,2002,Northeast,White,0.231,2.327,10.077
Oral Cavity and Pharynx,2002,Midwest,Asian or Pacific Islander,0.23,2.03,8.818
Oral Cavity and Pharynx,2002,Midwest,Black or African American,0.304,3.47,11.423
Oral Cavity and Pharynx,2002,Midwest,White,0.229,2.431,10.605
Oral Cavity and Pharynx,2002,South,Asian or Pacific Islander,0.281,1.48,5.264
Oral Cavity and Pharynx,2002,South,Black or African American,0.353,3.931,11.135
Oral Cavity and Pharynx,2002,South,White,0.234,2.733,11.678
Oral Cavity and Pharynx,2002,West,Asian or Pacific Islander,0.299,2.584,8.635
Oral Cavity and Pharynx,2002,West,Black or African American,0.359,3.352,9.327
Oral Cavity and Pharynx,2002,West,White,0.258,2.696,10.434
Oral Cavity and Pharynx,2003,Northeast,Asian or Pacific Islander,0.273,2.536,9.297
Oral Cavity and Pharynx,2003,Northeast,Black or African American,0.329,3.252,9.871
Oral Cavity and Pharynx,2003,Northeast,White,0.223,2.278,10.224
Oral Cavity and Pharynx,2003,Midwest,Black or African American,0.337,3.736,11.1
Oral Cavity and Pharynx,2003,Midwest,White,0.23,2.396,10.401
Oral Cavity and Pharynx,2003,South,Black or African American,0.349,4.09,11.715
Oral Cavity and Pharynx,2003,South,White,0.221,2.659,12.019
Oral Cavity and Pharynx,2003,West,American Indian or Alaska Native,0.348,2.426,6.963
Oral Cavity and Pharynx,2003,West,Asian or Pacific Islander,0.354,2.744,7.755
Oral Cavity and Pharynx,2003,West,Black or African American,0.39,3.762,9.651
Oral Cavity and Pharynx,2003,West,White,0.261,2.652,10.145
Oral Cavity and Pharynx,2004,Northeast,Asian or Pacific Islander,0.188,1.525,8.099
Oral Cavity and Pharynx,2004,Northeast,Black or African American,0.317,3.303,10.433
Oral Cavity and Pharynx,2004,Northeast,White,0.238,2.419,10.149
Oral Cavity and Pharynx,2004,Midwest,Black or African American,0.293,3.448,11.769
Oral Cavity and Pharynx,2004,Midwest,White,0.234,2.442,10.454
Oral Cavity and Pharynx,2004,South,Asian or Pacific Islander,0.216,1.274,5.887
Oral Cavity and Pharynx,2004,South,Black or African American,0.394,4.236,10.76
Oral Cavity and Pharynx,2004,South,White,0.223,2.601,11.66
Oral Cavity and Pharynx,2004,West,American Indian or Alaska Native,0.346,2.202,6.37
Oral Cavity and Pharynx,2004,West,Asian or Pacific Islander,0.283,2.215,7.816
Oral Cavity and Pharynx,2004,West,Black or African American,0.318,3.075,9.658
Oral Cavity and Pharynx,2004,West,White,0.23,2.433,10.582
Oral Cavity and Pharynx,2005,Northeast,Asian or Pacific Islander,0.236,2.265,9.581
Oral Cavity and Pharynx,2005,Northeast,Black or African American,0.363,3.149,8.67
Oral Cavity and Pharynx,2005,Northeast,White,0.212,2.14,10.103
Oral Cavity and Pharynx,2005,Midwest,Asian or Pacific Islander,0.261,2.062,7.911
Oral Cavity and Pharynx,2005,Midwest,Black or African American,0.336,3.491,10.404
Oral Cavity and Pharynx,2005,Midwest,White,0.211,2.257,10.675
Oral Cavity and Pharynx,2005,South,Asian or Pacific Islander,0.243,1.504,6.18
Oral Cavity and Pharynx,2005,South,Black or African American,0.351,3.721,10.605
Oral Cavity and Pharynx,2005,South,White,0.225,2.641,11.714
Oral Cavity and Pharynx,2005,West,Asian or Pacific Islander,0.291,2.399,8.241
Oral Cavity and Pharynx,2005,West,Black or African American,0.312,2.882,9.251
Oral Cavity and Pharynx,2005,West,White,0.244,2.544,10.418
Oral Cavity and Pharynx,2006,Northeast,Asian or Pacific Islander,0.233,2.068,8.872
Oral Cavity and Pharynx,2006,Northeast,Black or African American,0.258,2.346,9.074
Oral Cavity and Pharynx,2006,Northeast,White,0.206,2.223,10.801
Oral Cavity and Pharynx,2006,Midwest,Asian or Pacific Islander,0.257,2.52,9.794
Oral Cavity and Pharynx,2006,Midwest,Black or African American,0.33,3.484,10.555
Oral Cavity and Pharynx,2006,Midwest,White,0.213,2.276,10.699
Oral Cavity and Pharynx,2006,South,Asian or Pacific Islander,0.214,1.36,6.366
Oral Cavity and Pharynx,2006,South,Black or African American,0.354,3.5,9.901
Oral Cavity and Pharynx,2006,South,White,0.215,2.552,11.878
Oral Cavity and Pharynx,2006,West,American Indian or Alaska Native,0.403,3.028,7.521
Oral Cavity and Pharynx,2006,West,Asian or Pacific Islander,0.285,2.232,7.827
Oral Cavity and Pharynx,2006,West,Black or African American,0.333,2.818,8.459
Oral Cavity and Pharynx,2006,West,White,0.237,2.45,10.343
Oral Cavity and Pharynx,2007,Northeast,Asian or Pacific Islander,0.217,1.62,7.465
Oral Cavity and Pharynx,2007,Northeast,Black or African American,0.31,3.138,10.126
Oral Cavity and Pharynx,2007,Northeast,White,0.198,2.151,10.88
Oral Cavity and Pharynx,2007,Midwest,Asian or Pacific Islander,0.239,1.942,8.117
Oral Cavity and Pharynx,2007,Midwest,Black or African American,0.311,3.453,11.09
Oral Cavity and Pharynx,2007,Midwest,White,0.216,2.372,11.002
Oral Cavity and Pharynx,2007,South,Asian or Pacific Islander,0.223,1.462,6.556
Oral Cavity and Pharynx,2007,South,Black or African American,0.329,3.311,10.054
Oral Cavity and Pharynx,2007,South,White,0.22,2.706,12.303
Oral Cavity and Pharynx,2007,West,American Indian or Alaska Native,0.376,2.388,6.355
